ENDTIME,EVENTS,FG2A,FG2M,FG3A,FG3M,GAMEDATE,GAMEID,NONSHOOTINGFOULSTHATRESULTEDINFTS,OFFENSIVEREBOUNDS,OPPONENT,PERIOD,SHOOTINGFOULSDRAWN,STARTSCOREDIFFERENTIAL,STARTTIME,STARTTYPE,TURNOVERS,DESCRIPTION,URL,HTM,VTM,team,TEAM_ID,Year,start_seconds,end_seconds,mid_seconds,players_on,opp_players_on,season
01:57,"MISS Gilgeous-Alexander 14' Pullup Jump Shot: McCollum BLOCK (1 BLK)
Valanciunas REBOUND (Off:4 Def:6)
",1,0,0,0,2024-04-21,42300141,0,0,NOP,2,0,-1,02:12,Off Long Mid-Range Make,0,Valanciunas REBOUND (Off:4 Def:6),https://videos.nba.com/nba/pbp/media/2024/04/21/0042300141/279/b603d786-d3a7-e80e-83cd-ea8be8ce67e0_960x540.mp4,OKC,NOP,OKC,1610612760,2024,1308,1323,1315.5,1628983|1630198|1631096|1631114|1641717,202685|203468|1627742|1630529|1630530,2023-24
02:47,"MISS Dort 1' Driving Layup
Holmgren REBOUND (Off:1 Def:6)
Joe 1' Driving Reverse Layup (2 PTS) (Jal. Williams 1 AST)
",2,1,0,0,2024-04-21,42300141,0,1,NOP,2,0,-1,03:16,Off At Rim Make,0,MISS Dort 1' Driving Layup,https://videos.nba.com/nba/pbp/media/2024/04/21/0042300141/262/a5479a85-3c4c-101d-1e26-e31e2573c6f7_960x540.mp4,OKC,NOP,OKC,1610612760,2024,1244,1273,1258.5,1628983|1629652|1630198|1631096|1631114,203468|1626204|1627742|1630529|1630530,2023-24
00:19,"MISS K. Williams 3PT Jump Shot
Marshall REBOUND (Off:0 Def:1)
",0,0,1,0,2024-04-21,42300141,0,0,NOP,1,0,0,00:31,Off Short Mid-Range Miss,0,Marshall REBOUND (Off:0 Def:1),https://videos.nba.com/nba/pbp/media/2024/04/21/0042300141/132/8e40727e-5540-a9b9-b370-5fe6c75c6019_960x540.mp4,OKC,NOP,OKC,1610612760,2024,689,701,695.0,202330|1628983|1629026|1630198|1641717,203468|1626204|1630230|1630529|1630631,2023-24
06:37,"MISS Jay. Williams 26' 3PT Jump Shot
THUNDER Rebound
MISS Jay. Williams 26' 3PT Jump Shot
Ingram REBOUND (Off:0 Def:2)
",0,0,2,0,2024-04-21,42300141,0,1,NOP,2,0,-2,07:01,Off At Rim Make,0,Ingram REBOUND (Off:0 Def:2),https://videos.nba.com/nba/pbp/media/2024/04/21/0042300141/212/33f38d5e-da1a-4716-26bc-2b1a9cfbe95f_960x540.mp4,OKC,NOP,OKC,1610612760,2024,1019,1043,1031.0,1629652|1630598|1631114|1631119|1641717,202685|203468|1627742|1630230|1630530,2023-24
06:37,"MISS Jay. Williams 26' 3PT Jump Shot
THUNDER Rebound
MISS Jay. Williams 26' 3PT Jump Shot
Ingram REBOUND (Off:0 Def:2)
",0,0,2,0,2024-04-21,42300141,0,1,NOP,2,0,-2,07:01,Off At Rim Make,0,MISS Jay. Williams 26' 3PT Jump Shot,https://videos.nba.com/nba/pbp/media/2024/04/21/0042300141/211/5d619c02-6af3-0eaa-52db-0895a0ace002_960x540.mp4,OKC,NOP,OKC,1610612760,2024,1019,1043,1031.0,1629652|1630598|1631114|1631119|1641717,202685|203468|1627742|1630230|1630530,2023-24
06:37,"MISS Jay. Williams 26' 3PT Jump Shot
THUNDER Rebound
MISS Jay. Williams 26' 3PT Jump Shot
Ingram REBOUND (Off:0 Def:2)
",0,0,2,0,2024-04-21,42300141,0,1,NOP,2,0,-2,07:01,Off At Rim Make,0,THUNDER Rebound,,OKC,NOP,OKC,1610612760,2024,1019,1043,1031.0,1629652|1630598|1631114|1631119|1641717,202685|203468|1627742|1630230|1630530,2023-24
03:39,"Nance Jr. S.FOUL (P1.T2) (J.Orr)
Gilgeous-Alexander Free Throw 1 of 2 (10 PTS)
Gilgeous-Alexander Free Throw 2 of 2 (11 PTS)
",0,0,0,0,2024-04-21,42300141,0,0,NOP,2,1,-1,03:58,Off FT Make,0,Gilgeous-Alexander Free Throw 2 of 2 (11 PTS),,OKC,NOP,OKC,1610612760,2024,1202,1221,1211.5,1628983|1629652|1630198|1631096|1631114,203468|1626204|1627742|1630529|1630530,2023-24
02:47,"MISS Dort 1' Driving Layup
Holmgren REBOUND (Off:1 Def:6)
Joe 1' Driving Reverse Layup (2 PTS) (Jal. Williams 1 AST)
",2,1,0,0,2024-04-21,42300141,0,1,NOP,2,0,-1,03:16,Off At Rim Make,0,Holmgren REBOUND (Off:1 Def:6),https://videos.nba.com/nba/pbp/media/2024/04/21/0042300141/263/6a7507ef-682f-d9cf-cca9-1ed0f065d48c_960x540.mp4,OKC,NOP,OKC,1610612760,2024,1244,1273,1258.5,1628983|1629652|1630198|1631096|1631114,203468|1626204|1627742|1630529|1630530,2023-24
03:39,"Nance Jr. S.FOUL (P1.T2) (J.Orr)
Gilgeous-Alexander Free Throw 1 of 2 (10 PTS)
Gilgeous-Alexander Free Throw 2 of 2 (11 PTS)
",0,0,0,0,2024-04-21,42300141,0,0,NOP,2,1,-1,03:58,Off FT Make,0,Nance Jr. S.FOUL (P1.T2) (J.Orr),,OKC,NOP,OKC,1610612760,2024,1202,1221,1211.5,1628983|1629652|1630198|1631096|1631114,203468|1626204|1627742|1630529|1630530,2023-24
03:39,"Nance Jr. S.FOUL (P1.T2) (J.Orr)
Gilgeous-Alexander Free Throw 1 of 2 (10 PTS)
Gilgeous-Alexander Free Throw 2 of 2 (11 PTS)
",0,0,0,0,2024-04-21,42300141,0,0,NOP,2,1,-1,03:58,Off FT Make,0,Gilgeous-Alexander Free Throw 1 of 2 (10 PTS),,OKC,NOP,OKC,1610612760,2024,1202,1221,1211.5,1628983|1629652|1630198|1631096|1631114,203468|1626204|1627742|1630529|1630530,2023-24
